uniprot_id,mb_n_zn,mb_n_cys_coordinating,mb_coord_per_zn,mb_mean_zn_s_dist,mb_std_zn_s_dist,mb_mean_szns_angle,mb_tetrahedral_dev,mb_mean_zn_zn_dist,mb_min_zn_zn_dist,mb_rg_zn_cluster,mb_rg_protein,mb_metal_protein_offset,mb_n_residues
A0A1C7D003,11,23,2.091,2.3476,0.2835,106.642,2.828,17.2199,2.6629,13.6456,16.103,1.2428,124
A0A1D9BZV8,2,2,1.0,2.4305,0.2994,nan,nan,3.9793,3.9793,1.9896,19.7179,23.3991,68
A0A1L6Z3J2,6,17,2.833,2.3465,0.2857,105.914,3.556,11.6014,2.4387,8.6516,11.9861,2.4928,69
A0A1V0CMF8,6,20,3.333,2.4202,0.2763,106.881,2.589,14.3546,2.7113,10.9318,14.9099,4.5521,73
A0A1V0CMG1,9,27,3.0,2.3639,0.2431,110.63,1.16,14.631,2.8327,10.8501,14.1402,1.7294,109
A0A1X6NWZ7,5,19,3.8,2.3593,0.2028,107.404,2.066,19.9882,2.9473,15.249,14.7408,1.867,104
A0A1Y1FG02,6,11,1.833,2.2991,0.1955,107.886,1.584,10.9141,2.8974,8.1239,10.8622,2.3743,52
A0A220T7G9,6,17,2.833,2.2618,0.2662,114.193,4.723,11.3782,3.1832,8.4603,11.5405,1.8089,67
A0A220T7H0,6,21,3.5,2.3526,0.2092,110.279,0.809,11.7945,2.9872,8.7941,11.2612,1.2438,63
A0A223FZ32,9,28,3.111,2.3119,0.2603,112.693,3.223,15.1503,2.9239,11.1985,14.0302,1.1795,98
A0A223FZ33,9,21,2.333,2.3582,0.3101,114.399,4.929,14.1831,2.4731,10.6179,13.4887,2.0132,100
A0A223FZ35,11,26,2.364,2.3061,0.3058,109.567,0.097,14.2217,2.639,10.5357,13.7763,1.2853,124
A0A223FZ38,11,36,3.273,2.331,0.2483,107.975,1.495,16.2717,2.8015,12.8887,15.0157,0.7499,123
A0A223FZ39,8,18,2.25,2.2453,0.2593,118.985,9.515,15.045,2.7635,11.4022,14.6231,1.3089,85
A0A223FZ40,6,20,3.333,2.2951,0.1933,109.149,0.321,9.41,3.4738,6.8386,10.9727,1.1352,66
A0A223FZ42,7,17,2.429,2.3337,0.2539,107.412,2.058,11.554,3.0566,8.7851,12.6372,3.084,87
A0A223FZ44,9,24,2.667,2.3532,0.2731,111.954,2.484,14.5783,2.8399,10.9745,14.5374,0.9261,99
A0A223FZ45,9,27,3.0,2.3283,0.2439,111.597,2.127,14.0282,3.0056,10.4608,13.5248,1.4779,96
A0A223FZ46,9,25,2.778,2.3566,0.3006,109.65,0.18,14.7851,2.7115,11.1149,13.8502,1.5328,99
A0A286MPP4,5,14,2.8,2.3321,0.3158,109.028,0.442,5.165,3.1762,3.4737,9.057,1.1185,51
A0A290Y5N7,7,19,2.714,2.2925,0.2347,114.208,4.738,12.0274,2.729,9.1872,11.7472,1.0923,73
A0A2G8LCH4,4,12,3.0,2.3443,0.2669,108.286,1.184,5.0427,3.0296,3.2866,10.693,4.2223,81
A0A2I6AY75,7,18,2.571,2.4184,0.2584,109.149,0.321,12.4961,2.6603,9.4532,12.2447,1.7195,73
A0A2P6TKK5,6,13,2.167,2.3348,0.1861,111.076,1.606,7.8259,2.7794,5.6889,9.5924,0.848,56
A0A2P6VA05,6,16,2.667,2.402,0.2522,105.482,3.988,9.4551,2.9263,6.9599,10.0367,0.7883,59
A0A2S1FWJ4,6,16,2.667,2.2353,0.2381,116.795,7.325,8.1824,3.2158,5.8682,10.042,1.3296,63
A0A2S1FWK7,6,16,2.667,2.2798,0.3064,111.162,1.692,10.9557,2.5535,8.1826,11.3953,1.1073,63
A0A2U3V5S3,7,21,3.0,2.3688,0.2566,111.987,2.517,12.1262,3.1126,9.2593,12.0694,1.6035,61
A0A2U3V5S6,7,20,2.857,2.3356,0.2243,109.309,0.161,11.8214,2.8251,9.0616,12.2237,2.1852,62
A0A2U3YZV4,7,18,2.571,2.3502,0.2736,112.719,3.249,11.3772,3.2029,8.6054,11.4719,1.1725,61
A0A2U3YZW4,7,16,2.286,2.3406,0.2875,115.132,5.662,11.7545,2.6044,8.9765,12.0204,1.8034,61
A0A2V0NU85,6,18,3.0,2.3093,0.2648,106.159,3.311,11.9765,2.2997,9.0449,11.7207,0.6498,74
A0A2Y9LPG7,7,23,3.286,2.415,0.2684,110.654,1.184,12.4658,2.9599,9.5122,12.5591,1.725,61
A0A2Y9LX50,7,18,2.571,2.3522,0.26,110.777,1.307,11.4575,2.9804,8.7082,11.8798,2.1403,62
A0A2Y9M2K7,7,17,2.429,2.3658,0.2769,106.393,3.077,11.6912,2.8032,8.9245,11.6891,1.1928,61
A0A2Y9MKN7,7,17,2.429,2.405,0.2653,111.484,2.014,12.5175,2.6788,9.6022,12.2968,1.535,61
A0A2Y9SVU7,7,19,2.714,2.4185,0.251,109.681,0.211,12.0964,2.8723,9.2577,12.0495,1.5515,61
A0A2Z4NC35,5,12,2.4,2.3334,0.257,111.218,1.748,4.4335,2.8251,2.948,8.8701,0.7427,59
A0A340WTG0,6,16,2.667,2.4248,0.2867,105.537,3.933,10.9678,2.4627,8.1974,11.0948,1.4424,61
A0A340XCV9,6,16,2.667,2.4704,0.2221,111.026,1.556,12.1394,2.8778,9.0782,12.1537,0.7951,61
A0A340XDF9,7,10,1.429,2.4782,0.21,95.359,14.111,12.1837,2.5694,9.3646,12.2031,1.5987,61
A0A340XDI0,7,20,2.857,2.3774,0.2577,108.215,1.255,11.2879,2.8965,8.505,11.5879,0.9759,61
A0A340XHD9,7,20,2.857,2.4256,0.2722,108.704,0.766,12.5038,2.8162,9.5973,12.5768,1.7188,61
A0A340XKD5,7,15,2.143,2.4037,0.2853,107.435,2.035,10.9353,2.8702,8.2992,11.6455,1.9705,62
A0A341BYL2,7,16,2.286,2.3563,0.2669,114.937,5.467,12.3435,2.7704,9.4498,12.0632,1.405,61
A0A341BZ53,7,21,3.0,2.3328,0.2578,110.058,0.588,12.0503,3.0089,9.1822,12.2046,1.6909,61
A0A341BZ75,7,19,2.714,2.3513,0.242,113.664,4.194,11.5134,3.0859,8.7554,12.1359,1.8545,62
A0A341C2B9,7,15,2.143,2.2872,0.3019,107.517,1.953,11.3962,2.9526,8.6593,12.3863,0.6079,70
A0A383YXP3,7,16,2.286,2.3405,0.3275,116.186,6.716,11.401,2.7801,8.6807,11.6677,1.2621,61
A0A383YXV6,7,20,2.857,2.3813,0.2766,110.895,1.425,11.9676,3.0018,9.1279,12.2586,1.6552,61
A0A384BEF7,7,20,2.857,2.3412,0.2297,108.586,0.884,12.4628,2.9096,9.5733,12.4188,1.7509,61
A0A384D193,7,19,2.714,2.3138,0.2278,110.381,0.911,11.8531,2.8455,9.0572,11.9637,1.5291,61
A0A384D1F2,7,22,3.143,2.3426,0.2307,109.712,0.242,12.1624,3.0641,9.2648,12.1918,1.5672,61
A0A384D251,7,19,2.714,2.2036,0.2265,107.563,1.907,11.9224,3.0289,9.0938,12.1494,1.5939,61
A0A386IP32,4,10,2.5,2.3692,0.2242,101.379,8.091,4.004,2.9604,2.5159,28.0206,20.263,93
A0A3B3CCH3,3,8,2.667,2.5538,0.1625,110.215,0.745,3.758,2.926,2.2692,8.7121,1.3627,40
A0A3B3CKY9,7,19,2.714,2.3142,0.2688,106.445,3.025,10.9447,2.8829,8.304,11.3044,1.9581,60
A0A3B4AW44,7,16,2.286,2.3962,0.3091,106.778,2.692,10.7391,2.8032,8.1406,11.3757,2.0686,60
A0A3B4AWJ9,7,18,2.571,2.2836,0.2496,111.003,1.533,10.8644,2.6146,8.2781,11.47,2.1328,60
A0A3B4VK72,7,19,2.714,2.3429,0.2177,115.76,6.29,11.7847,3.2138,8.9647,12.0403,2.1798,60
A0A3B4Y3M0,7,18,2.571,2.3416,0.3038,110.311,0.841,12.0119,2.8842,9.198,12.2042,2.1509,60
A0A3B4ZIM4,7,14,2.0,2.2457,0.2414,113.375,3.905,10.3531,2.8963,7.7933,11.1034,1.9027,60
A0A3B5KME6,7,16,2.286,2.3728,0.2559,118.073,8.603,10.5551,2.9067,7.9958,11.2671,1.7578,60
A0A3G1Z059,6,20,3.333,2.4103,0.2379,111.723,2.253,11.097,2.506,8.252,11.5896,2.1052,67
A0A3G1Z090,6,17,2.833,2.3831,0.2241,115.206,5.736,9.0033,3.1,6.556,10.8732,0.523,64
A0A3G1Z0W1,6,17,2.833,2.3875,0.2374,111.588,2.118,10.4976,2.8584,7.759,11.2467,1.5493,67
A0A3G1Z1B2,6,24,4.0,2.3984,0.2111,109.247,0.223,11.2774,3.185,8.3721,11.5314,1.6129,66
A0A3P8TYH4,7,17,2.429,2.2929,0.2363,115.758,6.288,11.4224,2.9551,8.7087,11.9624,1.6382,58
A0A3P8X2A0,7,17,2.429,2.366,0.3169,110.485,1.015,10.9344,2.9971,8.3048,11.5823,1.8561,60
A0A3Q2FS41,7,14,2.0,2.4578,0.2778,105.617,3.853,10.2051,3.1178,7.6812,11.1925,1.1098,58
A0A3Q2YXD5,7,17,2.429,2.2419,0.2128,120.506,11.036,11.487,2.7202,8.7635,11.8819,1.8866,60
A0A3Q3BGA8,7,13,1.857,2.3522,0.1711,111.304,1.834,10.8311,2.8892,8.2109,11.3824,1.7788,60
A0A3Q3F563,7,16,2.286,2.3922,0.3022,106.034,3.436,11.0773,2.5875,8.4352,11.6131,2.0433,60
A0A3Q3VMJ7,7,18,2.571,2.3305,0.2716,114.779,5.309,10.6874,2.9363,8.107,11.3263,1.047,60
A0A3Q3VPM7,4,10,2.5,2.1826,0.3003,113.949,4.479,4.7228,2.7516,3.113,10.5187,5.4642,76
A0A3Q3WB48,6,18,3.0,2.2759,0.2765,108.465,1.005,10.4471,2.9962,7.7086,11.8073,2.1231,62
A0A452C703,7,14,2.0,2.3093,0.3045,116.176,6.706,11.7591,2.8202,8.9921,12.0595,2.0834,62
A0A452T0K9,7,18,2.571,2.3839,0.2809,113.968,4.498,10.9647,2.3442,8.3273,11.7423,1.9227,68
A0A452T0Q5,6,20,3.333,2.3915,0.2222,109.153,0.317,9.5822,2.993,7.055,11.566,3.6579,62
A0A455B3R5,7,23,3.286,2.3921,0.2314,108.835,0.635,11.777,2.9942,8.9581,11.8353,1.416,61
A0A4U5UGS7,3,6,2.0,2.5513,0.2468,99.039,10.431,3.2017,2.6273,1.8885,33.4392,34.7354,86
A0A4W3IAU9,6,14,2.333,2.2638,0.2734,109.266,0.204,10.4664,2.8696,7.93,11.2887,2.2197,58
A0A4W3IIK8,5,14,2.8,2.406,0.2409,115.572,6.102,4.8698,2.9587,3.2905,17.2143,9.4795,66
A0A4W6DD13,7,16,2.286,2.3899,0.2672,111.701,2.231,10.6851,3.0307,8.0908,11.3975,1.7835,60
A0A513QTV9,6,21,3.5,2.3861,0.2681,109.983,0.513,11.1211,3.246,8.2208,11.3642,1.5624,65
A0A516F437,9,19,2.111,2.3539,0.2622,104.251,5.219,11.8546,3.0174,9.2065,12.517,0.2939,90
A0A516F442,8,22,2.75,2.3727,0.2436,102.072,7.398,11.3778,2.8073,8.7386,12.0364,0.6576,81
A0A5C0PVA2,7,16,2.286,2.3522,0.2548,115.61,6.14,12.2914,2.98,9.4793,12.461,1.2752,74
A0A5J4Z9F3,5,12,2.4,2.483,0.2343,114.449,4.979,5.5868,2.677,3.8406,10.331,3.8665,70
A0A5K7YAY7,7,20,2.857,2.3552,0.2473,112.823,3.353,10.1307,3.1061,7.6283,11.1072,1.273,72
A0A643BYN7,5,13,2.6,2.335,0.2925,102.538,6.932,4.9177,2.5746,3.368,10.4619,5.9391,72
A0A665T2B2,7,15,2.143,2.4667,0.2126,107.266,2.204,10.3522,2.8889,7.7579,11.0864,1.5403,60
A0A667XQB4,7,19,2.714,2.3994,0.2708,104.922,4.548,12.3231,2.9103,9.4069,17.3979,12.8673,122
A0A672Y9T9,7,18,2.571,2.3316,0.2638,116.593,7.123,11.4763,2.7571,8.7717,11.885,1.9701,60
A0A674MQB5,7,19,2.714,2.2626,0.2335,117.861,8.391,11.4392,3.0529,8.7188,11.7555,1.9785,60
A0A6A1QBI5,5,16,3.2,2.3266,0.316,108.362,1.108,9.1857,2.9283,6.5268,12.128,2.4903,72
A0A6G5YNX4,6,14,2.333,2.2144,0.2807,103.962,5.508,6.6472,2.4089,4.7816,10.1477,2.5118,74
A0A6G5YPG2,6,14,2.333,2.3341,0.3009,108.652,0.818,11.0842,2.459,8.2894,11.5647,2.0535,74
A0A6G6AZ81,7,18,2.571,2.3796,0.3258,110.164,0.694,12.3377,2.6878,9.4701,11.9755,2.2052,86
A0A6G7BMU5,6,18,3.0,2.4104,0.2875,109.13,0.34,9.2309,2.9911,6.7877,11.2542,1.9205,62
A0A6G7BN21,6,19,3.167,2.3436,0.321,108.763,0.707,9.6353,2.7988,6.9981,10.2468,2.0256,62
A0A6G7D3W5,6,20,3.333,2.3611,0.2754,103.36,6.11,10.1913,3.0807,7.5395,11.3224,1.8481,72
A0A6G7D449,6,20,3.333,2.3499,0.2781,108.304,1.166,9.4326,3.1522,6.898,10.8954,2.0452,71
A0A6G9W1Q9,6,18,3.0,2.2885,0.2623,112.076,2.606,14.7667,2.9567,11.2563,13.751,2.3382,67
A0A6G9W2L2,6,12,2.0,2.2379,0.23,121.263,11.793,11.0212,2.8517,8.2178,11.3385,0.885,65
A0A6G9W3C0,6,19,3.167,2.3692,0.2612,112.899,3.429,9.7079,3.0452,7.1153,11.1349,1.5595,73
A0A6G9W3D2,6,16,2.667,2.3658,0.3025,116.912,7.442,10.5511,2.54,7.8317,11.2879,1.5079,65
A0A6G9W3Y9,6,23,3.833,2.4346,0.2216,108.999,0.471,10.6885,3.5068,7.8841,11.3728,1.9229,65
A0A6G9W593,6,17,2.833,2.3107,0.2895,108.046,1.424,10.6578,3.1861,7.8913,11.2741,1.7622,67
A0A6G9W5A3,6,14,2.333,2.4091,0.2514,108.656,0.814,11.2847,2.7032,8.4533,11.5158,1.692,64
A0A6J2PVG8,7,19,2.714,2.3234,0.2732,115.454,5.984,10.9282,3.0493,8.3218,11.3244,2.2299,60
A0A6J2PVR0,7,15,2.143,2.3982,0.1572,110.705,1.235,11.188,2.9306,8.4934,11.5284,2.2363,60
A0A6J3QDU2,7,22,3.143,2.4212,0.2241,106.905,2.565,11.6819,2.7655,8.894,11.9254,1.3427,61
A0A6J3QDZ8,7,15,2.143,2.3545,0.3166,109.605,0.135,12.609,2.7823,9.7174,12.4095,1.6549,61
A0A6J3QVJ7,7,17,2.429,2.3208,0.2134,121.01,11.54,11.2843,2.4537,8.5929,11.5673,1.1494,61
A0A6P3VKX1,7,13,1.857,2.4014,0.1999,116.165,6.695,11.3484,2.7267,8.6549,29.8486,19.6404,92
A0A6P8TQL5,7,17,2.429,2.3396,0.2473,111.746,2.276,10.9854,2.3868,8.3729,11.6373,1.864,60
A0A6P8TQN4,7,18,2.571,2.3336,0.2214,115.889,6.419,11.055,3.1465,8.3815,11.6206,1.9463,60
A0A7F8K7K6,7,19,2.714,2.2379,0.2878,114.977,5.507,12.174,2.5631,9.3023,12.0795,1.439,61
A0A7F8Q4L6,7,16,2.286,2.3378,0.282,108.891,0.579,11.6918,2.7872,8.9388,11.9978,2.0105,62
A0A7J5YY29,3,10,3.333,2.291,0.2601,109.938,0.468,3.3942,3.0258,1.9725,23.3168,17.8217,59
A0A7J5YYD4,8,19,2.375,2.4039,0.2283,107.045,2.425,14.5391,2.7703,11.321,18.3914,12.3737,124
A0A7K9EYQ1,6,16,2.667,2.3216,0.24,111.1,1.63,10.2339,2.8732,7.6221,12.354,2.928,63
A0A7M6UWG4,7,13,1.857,2.3294,0.1841,121.104,11.634,8.106,2.4225,5.9303,10.258,1.8834,64
A0A7M6UWS7,7,16,2.286,2.3989,0.2031,112.432,2.962,8.4871,2.6871,6.2395,10.7685,2.0202,66
A0A7M7N433,7,15,2.143,2.2755,0.2342,115.642,6.172,11.2863,3.0081,8.4971,11.0064,1.2462,65
A0A7M7N5S8,7,26,3.714,2.3705,0.2364,109.147,0.323,10.7594,3.1384,8.1728,11.7124,1.5982,66
A0A7M7P4M6,7,16,2.286,2.4883,0.2042,104.686,4.784,8.3349,2.9289,6.1585,10.4875,2.1027,64
A0A7M7P4P4,7,17,2.429,2.3105,0.2991,112.901,3.431,7.7534,3.2645,5.6059,10.2769,2.051,64
A0A8B6C2J3,6,17,2.833,2.4801,0.2687,109.033,0.437,12.2573,2.6914,9.2496,11.6335,2.314,66
A0A8B6DV18,6,19,3.167,2.4182,0.2193,109.766,0.296,10.575,3.0822,7.784,10.5051,1.394,66
A0A8B6DXM4,6,18,3.0,2.3653,0.2682,107.992,1.478,11.0956,3.2889,8.2318,10.9089,2.4023,66
A0A8B8BAW1,8,15,1.875,2.4307,0.3095,107.072,2.398,10.886,2.6262,8.3256,11.5985,1.8226,83
A0A8B8VVZ8,7,19,2.714,2.344,0.2346,111.304,1.834,10.6,3.047,8.0144,11.3756,1.7542,62
A0A8B8VW02,7,13,1.857,2.3037,0.28,117.888,8.418,12.1961,2.6429,9.3439,12.4061,1.6747,61
A0A8B8VX94,7,21,3.0,2.3221,0.2697,113.461,3.991,11.7456,3.0383,8.9195,11.9259,1.5176,61
A0A8B8WDK8,6,14,2.333,2.3007,0.219,112.814,3.344,10.3692,2.9825,7.7949,11.3707,2.3244,55
A0A8B8XNQ5,6,14,2.333,2.3182,0.2993,108.252,1.218,11.6247,2.7746,8.6675,17.343,7.1966,79
A0A8B8YQ69,4,9,2.25,2.3162,0.2392,111.878,2.408,9.5921,3.1177,6.5115,18.0055,11.1326,79
A0A8B8YRT0,6,12,2.0,2.3446,0.2857,112.029,2.559,12.6476,2.7959,9.4876,12.5064,0.4572,61
A0A8C0I3E3,7,19,2.714,2.3379,0.2532,106.929,2.541,11.2665,1.6197,8.645,11.572,1.4733,61
A0A8C3AVP2,7,16,2.286,2.3817,0.2788,113.223,3.753,11.5649,2.5115,8.8386,12.0053,2.1126,60
A0A8C3AW41,7,20,2.857,2.4062,0.2576,110.614,1.144,11.2557,2.7814,8.5365,11.6494,2.2183,60
A0A8C4ZWR0,7,18,2.571,2.3615,0.2682,106.681,2.789,11.0021,2.8645,8.3471,11.4736,1.7646,60
A0A8C5D695,7,18,2.571,2.3536,0.2267,112.17,2.7,11.6589,2.7613,8.8726,11.8994,1.8243,60
A0A8C5GH36,4,7,1.75,2.3728,0.2511,114.839,5.369,3.9975,2.5409,2.6027,9.1859,2.0035,51
A0A8C5HUX0,2,8,4.0,2.3255,0.2382,105.21,4.26,2.9485,2.9485,1.4743,11.1241,4.5544,83
A0A8C6ADN2,3,10,3.333,2.254,0.2507,109.777,0.307,3.8931,2.951,2.3212,9.6633,3.0541,44
A0A8C6AUT8,7,22,3.143,2.3753,0.3176,107.869,1.601,12.7658,3.1299,9.8134,12.4661,1.6602,61
A0A8C6B680,7,22,3.143,2.3795,0.2379,109.616,0.146,12.3208,3.1043,9.4356,12.5093,1.8428,61
A0A8C6B6B8,7,21,3.0,2.3777,0.2664,108.325,1.145,11.4599,2.8897,8.7223,11.9627,1.2819,61
A0A8C6B710,7,16,2.286,2.3468,0.2502,112.934,3.464,11.7032,2.6682,8.9262,12.2445,2.0767,67
A0A8C6B8S5,7,16,2.286,2.3411,0.2543,109.416,0.054,11.9534,2.939,9.1261,12.3156,2.1565,62
A0A8C7CLS1,7,18,2.571,2.332,0.3111,113.59,4.12,10.0699,2.5992,7.57,11.3751,1.4657,61
A0A8C7D3U0,6,15,2.5,2.3512,0.3192,106.726,2.744,10.1522,2.8063,7.5288,14.1895,4.5108,75
A0A8C7DNP7,4,10,2.5,2.4146,0.2486,95.553,13.917,4.1803,3.3592,2.6135,10.5482,5.6974,62
A0A8C7I8I6,6,17,2.833,2.3442,0.2179,109.195,0.275,10.0274,2.8895,7.4204,10.932,1.9952,59
A0A8C7I8S5,7,16,2.286,2.4474,0.2436,109.995,0.525,10.8601,2.9028,8.2399,11.5717,1.7371,60
A0A8C8C1S4,4,12,3.0,2.3789,0.2645,107.609,1.861,4.2066,3.4741,2.6188,10.8409,4.9264,62
A0A8C8EIB2,3,7,2.333,2.389,0.2675,107.741,1.729,3.2873,2.9975,1.9016,10.7282,5.1941,64
A0A8C9CE58,7,22,3.143,2.3501,0.242,112.476,3.006,12.2168,2.6904,9.3266,12.1713,1.5047,61
A0A8C9CGW7,3,8,2.667,2.2971,0.2532,106.304,3.166,3.578,2.6247,2.1904,9.1342,2.1739,44
A0A8C9CGX9,7,18,2.571,2.3569,0.266,112.453,2.983,11.1729,2.6978,8.4417,11.3519,1.1547,61
A0A8C9CHC4,6,20,3.333,2.3773,0.2424,106.352,3.118,10.4624,3.0187,7.9497,11.8716,2.669,57
A0A8C9CHS3,7,19,2.714,2.268,0.2615,113.987,4.517,11.0943,2.8643,8.4295,11.4443,1.5177,61
A0A8C9CNJ4,7,20,2.857,2.4713,0.2367,106.537,2.933,12.3646,2.807,9.5053,12.7522,1.5574,61
A0A8C9CR41,3,7,2.333,2.2209,0.2425,109.749,0.279,3.6704,2.6224,2.2161,9.9816,3.9841,47
A0A8C9CRM1,7,16,2.286,2.3387,0.2316,104.529,4.941,11.3622,2.2944,8.705,47.888,45.6723,130
A0A8C9DWX7,6,14,2.333,2.1882,0.2976,112.659,3.189,10.5928,2.5723,7.8678,11.0959,0.6383,61
A0A8C9E7K0,7,12,1.714,2.4384,0.2286,107.739,1.731,11.3644,2.6715,8.653,12.0905,2.3363,67
A0A8C9E8G3,7,19,2.714,2.3097,0.2308,109.977,0.507,10.8116,2.8572,8.1782,11.7939,1.7317,62
A0A8D2HQT0,7,23,3.286,2.4099,0.2398,108.069,1.401,11.4689,2.9157,8.6968,11.7378,1.3941,61
A0A8D2HQU7,7,22,3.143,2.3377,0.2602,110.69,1.22,11.161,3.2348,8.479,12.0933,2.0869,62
A0A8D2KIM4,7,21,3.0,2.4135,0.3412,109.991,0.521,11.5896,3.0118,8.8561,11.8066,1.3897,61
A0A8D2KIM5,7,17,2.429,2.4383,0.2884,108.438,1.032,10.2448,2.3131,7.7357,12.0723,1.9476,67
A0A8J4Y7R2,4,11,2.75,2.3634,0.3407,109.087,0.383,3.8492,2.7092,2.4249,15.6239,12.7014,117
A0A8J4YAA6,4,10,2.5,2.3916,0.2148,111.863,2.393,3.8537,2.8126,2.4469,16.9915,19.4917,117
A0A8J4YUS5,4,14,3.5,2.4806,0.2473,108.878,0.592,3.5567,2.4088,2.2126,14.9832,14.942,103
A0A8J5D0Y8,4,9,2.25,2.3653,0.1428,118.599,9.129,3.8847,2.8309,2.4592,14.1272,12.4715,101
A0A8J5JBW0,5,15,3.0,2.3946,0.2706,110.545,1.075,6.7427,3.4961,4.6588,19.1336,10.0872,72
A0A8J5JK78,8,22,2.75,2.3257,0.3183,107.913,1.557,14.8983,2.3432,11.558,18.0,8.6697,127
A0A8J5K9U2,6,10,1.667,2.4344,0.105,102.276,7.194,10.8276,2.5431,7.9987,43.5101,31.494,124
A0A8J5MRL7,5,10,2.0,2.1422,0.2308,123.201,13.731,11.0631,3.6116,8.0733,14.0507,6.2535,108
A0A8J5N9J6,8,16,2.0,2.3598,0.2973,107.148,2.322,12.6171,2.194,9.7506,17.6829,12.1088,127
A0A8M1G394,7,16,2.286,2.3939,0.3179,110.812,1.342,10.9657,2.546,8.3161,11.3779,2.0549,62
A0A8S3R7S8,7,20,2.857,2.3547,0.23,111.063,1.593,11.4981,3.0494,8.7074,11.4663,0.7925,74
A0A8S3SSD0,7,20,2.857,2.3287,0.2304,112.52,3.05,11.5327,3.31,8.7804,11.8903,1.812,73
A0A8S3UIJ6,4,13,3.25,2.3142,0.2458,107.943,1.527,4.2274,2.7898,2.6932,10.4555,5.6959,70
A0A8S3YX03,8,19,2.375,2.4142,0.2835,110.842,1.372,9.8693,1.5473,7.442,13.2902,3.8221,86
A0A8S3Z1P8,7,15,2.143,2.2917,0.3405,113.788,4.318,10.5404,2.7405,7.9288,11.2877,0.9102,66
A0A8S3Z4S0,6,19,3.167,2.3981,0.2125,108.827,0.643,9.9028,2.7359,7.2912,11.5448,2.2152,76
A0A8S4BEQ0,7,19,2.714,2.2508,0.2687,114.612,5.142,11.1103,2.6053,8.4299,11.5914,2.0077,60
A0A8W8L4J5,4,1,0.25,2.5588,0.0,nan,nan,3.1905,1.9999,2.0672,10.5523,16.158,67
A0A8W8LFP0,6,14,2.333,2.3305,0.329,111.896,2.426,12.1999,3.1189,9.1733,12.583,2.5943,62
A0A8W8M202,10,21,2.1,2.3607,0.3089,111.451,1.981,13.1887,2.0762,9.744,13.1329,0.7514,107
A0A8W8M520,9,18,2.0,2.284,0.2804,114.043,4.573,9.9636,2.7602,7.5788,29.7634,14.4203,119
A0A977XTA3,7,17,2.429,2.4142,0.215,106.687,2.783,11.4549,2.3243,8.7692,11.7812,2.1437,60
A0A9W2WKM3,6,13,2.167,2.3292,0.2741,106.741,2.729,12.3039,2.6916,9.2262,12.3796,0.5135,61
A0A9W2WPC5,6,15,2.5,2.3477,0.2508,110.652,1.182,11.351,2.5557,8.417,11.8989,0.7102,61
